MSR,effect_type
MSR000,mean
MSR001,scale
MSR002,none
MSR003,none
MSR004,shape
MSR005,mean
MSR006,none
MSR007,none
MSR008,scale
MSR009,shape
MSR010,none
MSR011,none
MSR012,none
MSR013,none
MSR014,none
MSR015,scale
MSR016,none
MSR017,none
MSR018,shape
MSR019,none
MSR020,none
MSR021,none
MSR022,shape
MSR023,shape
MSR024,scale
MSR025,none
MSR026,none
MSR027,none
MSR028,scale
MSR029,none
MSR030,none
MSR031,mean
MSR032,mean
MSR033,none
MSR034,none
MSR035,scale
MSR036,shape
MSR037,shape
MSR038,scale
MSR039,shape
MSR040,scale
MSR041,mean
MSR042,none
MSR043,none
MSR044,none
MSR045,mean
MSR046,none
MSR047,scale
MSR048,mean
MSR049,scale
MSR050,none
MSR051,mean
MSR052,none
MSR053,scale
MSR054,none
MSR055,scale
MSR056,shape
MSR057,none
MSR058,none
MSR059,none
MSR060,mean
MSR061,none
MSR062,none
MSR063,none
MSR064,none
MSR065,none
MSR066,shape
MSR067,none
MSR068,mean
MSR069,mean
MSR070,mean
MSR071,shape
MSR072,none
MSR073,none
MSR074,shape
MSR075,shape
MSR076,scale
MSR077,none
MSR078,none
MSR079,none
MSR080,none
MSR081,none
MSR082,mean
MSR083,none
MSR084,scale
MSR085,none
MSR086,none
MSR087,none
MSR088,none
MSR089,scale
MSR090,none
MSR091,none
MSR092,scale
MSR093,scale
MSR094,none
MSR095,mean
MSR096,shape
MSR097,none
MSR098,none
MSR099,none
MSR100,none
MSR101,hotspot
MSR102,none
MSR103,mean
MSR104,mean
MSR105,none
MSR106,none
MSR107,none
MSR108,scale
MSR109,shape
MSR110,none
MSR111,none
MSR112,shape
MSR113,mean
MSR114,none
MSR115,mean
MSR116,mean
MSR117,none
MSR118,scale
MSR119,scale
MSR120,mean
MSR121,none
MSR122,mean
MSR123,shape
MSR124,hotspot
MSR125,scale
MSR126,hotspot
MSR127,scale
MSR128,none
MSR129,none
MSR130,none
MSR131,mean
MSR132,mean
MSR133,none
MSR134,none
MSR135,scale
MSR136,none
MSR137,hotspot
MSR138,scale
MSR139,hotspot
MSR140,scale
MSR141,none
MSR142,scale
MSR143,shape
MSR144,mean
MSR145,mean
MSR146,hotspot
MSR147,none
MSR148,none
MSR149,none
MSR150,none
MSR151,shape
MSR152,none
MSR153,none
MSR154,mean
MSR155,hotspot
MSR156,scale
MSR157,mean
MSR158,none
MSR159,none
MSR160,none
MSR161,scale
MSR162,none
MSR163,mean
MSR164,none
MSR165,none
MSR166,none
MSR167,hotspot
MSR168,mean
MSR169,shape
MSR170,scale
MSR171,scale
MSR172,none
MSR173,mean
MSR174,none
MSR175,mean
MSR176,none
MSR177,shape
MSR178,none
MSR179,none
MSR180,mean
MSR181,none
MSR182,scale
MSR183,shape
MSR184,none
MSR185,none
MSR186,none
MSR187,none
MSR188,mean
MSR189,scale
MSR190,shape
MSR191,scale
MSR192,none
MSR193,none
MSR194,mean
MSR195,none
MSR196,none
MSR197,mean
MSR198,none
MSR199,shape
MSR200,none
MSR201,none
MSR202,none
MSR203,none
MSR204,scale
MSR205,none
MSR206,none
MSR207,none
MSR208,none
MSR209,none
MSR210,none
MSR211,none
MSR212,shape
MSR213,none
MSR214,none
MSR215,shape
MSR216,mean
MSR217,mean
MSR218,scale
MSR219,scale
MSR220,mean
MSR221,none
MSR222,none
MSR223,none
MSR224,hotspot
MSR225,none
MSR226,hotspot
MSR227,none
MSR228,none
MSR229,none
MSR230,mean
MSR231,none
MSR232,shape
MSR233,none
MSR234,none
MSR235,hotspot
MSR236,mean
MSR237,none
MSR238,none
MSR239,none
MSR240,mean
MSR241,none
MSR242,scale
MSR243,none
MSR244,mean
MSR245,none
MSR246,none
MSR247,hotspot
MSR248,hotspot
MSR249,none
MSR250,none
MSR251,none
MSR252,hotspot
MSR253,scale
MSR254,none
MSR255,none
MSR256,none
MSR257,shape
MSR258,none
MSR259,none
MSR260,hotspot
MSR261,none
MSR262,none
MSR263,mean
MSR264,none
MSR265,none
MSR266,shape
MSR267,none
MSR268,shape
MSR269,none
MSR270,none
MSR271,scale
MSR272,none
MSR273,none
MSR274,scale
MSR275,none
MSR276,none
MSR277,mean
MSR278,scale
MSR279,none
MSR280,shape
MSR281,scale
MSR282,scale
MSR283,none
MSR284,none
MSR285,hotspot
MSR286,none
MSR287,scale
MSR288,none
MSR289,none
MSR290,shape
MSR291,none
MSR292,none
MSR293,none
MSR294,shape
MSR295,none
MSR296,none
MSR297,none
MSR298,none
MSR299,none
